Orig Order,GeoType,Borough,GeoID,BCT2020,Name,CD Type,NTA Type,Total population,Average household size,Total persons under 18 years,%,Hispanic/Latino (of any race),%,White non-Hispanic,%,Black non-Hispanic,%,Asian non-Hispanic,%,"Some other race, non-Hispanic",%,Non-Hispanic of two or more races,%,Total housing units,%,Occupied housing units,%,Vacant housing units,%
5,Boro,Queens,4,,Queens,,,2405464,2.8,455995,19,667861,27.8,549358,22.8,381375,15.9,656583,27.3,66175,2.8,84112,3.5,896333,100,847210,94.5,49123,5.5
55,CD,Queens,401,,Queens Community District 1,CD,,196803,2.23,27312,13.9,50073,25.4,90578,46,15281,7.8,29989,15.2,3037,1.5,7845,4,90547,100,85697,94.6,4850,5.4
56,CD,Queens,402,,Queens Community District 2,CD,,137981,2.41,21892,15.9,40659,29.5,39290,28.5,3784,2.7,48826,35.4,1563,1.1,3859,2.8,60766,100,56413,92.8,4353,7.2
57,CD,Queens,403,,Queens Community District 3,CD,,179134,3.16,37590,21,113447,63.3,17643,9.8,8690,4.9,34456,19.2,2210,1.2,2688,1.5,59119,100,56025,94.8,3094,5.2
58,CD,Queens,404,,Queens Community District 4,CD,,181025,3.24,38213,21.1,93972,51.9,9329,5.2,7679,4.2,65963,36.4,1692,0.9,2390,1.3,57748,100,55202,95.6,2546,4.4
59,CD,Queens,405,,Queens Community District 5,CD,,178178,2.72,33591,18.9,64221,36,85642,48.1,3884,2.2,19241,10.8,1658,0.9,3532,2,69416,100,65075,93.7,4341,6.3
60,CD,Queens,406,,Queens Community District 6,CD,,120955,2.25,20995,17.4,19946,16.5,53244,44,3490,2.9,37288,30.8,1637,1.4,5350,4.4,56695,100,53485,94.3,3210,5.7
61,CD,Queens,407,,Queens Community District 7,CD,,269587,2.75,45543,16.9,48845,18.1,55882,20.7,5412,2,154404,57.3,1575,0.6,3469,1.3,102836,100,97059,94.4,5777,5.6
62,CD,Queens,408,,Queens Community District 8,CD,,161402,2.76,32754,20.3,29486,18.3,44302,27.4,18682,11.6,60413,37.4,3200,2,5319,3.3,59385,100,56623,95.3,2762,4.7
63,CD,Queens,409,,Queens Community District 9,CD,,152839,3.16,31566,20.7,63620,41.6,23074,15.1,10224,6.7,38802,25.4,9768,6.4,7351,4.8,50877,100,48117,94.6,2760,5.4
64,CD,Queens,410,,Queens Community District 10,CD,,129411,3.11,24525,19,30587,23.6,25678,19.8,17971,13.9,27838,21.5,16205,12.5,11132,8.6,43252,100,41213,95.3,2039,4.7
65,CD,Queens,411,,Queens Community District 11,CD,,122211,2.69,21612,17.7,14460,11.8,41967,34.3,2641,2.2,59980,49.1,779,0.6,2384,2,47357,100,45204,95.5,2153,4.5
66,CD,Queens,412,,Queens Community District 12,CD,,256278,3.15,54033,21.1,46287,18.1,4607,1.8,138219,53.9,38934,15.2,13450,5.2,14781,5.8,84092,100,79827,94.9,4265,5.1
67,CD,Queens,413,,Queens Community District 13,CD,,199218,3.1,35861,18,24911,12.5,18192,9.1,102711,51.6,36954,18.5,7057,3.5,9393,4.7,66259,100,63211,95.4,3048,4.6
68,CD,Queens,414,,Queens Community District 14,CD,,124173,2.7,30502,24.6,28592,23,40183,32.4,44867,36.1,3553,2.9,2355,1.9,4623,3.7,47975,100,44054,91.8,3921,8.2
